"seller_id","seller_city","seller_state","total_orders","total_items_sold","total_revenue","total_freight","total_gross_revenue","avg_item_price","avg_review_score","total_reviews","positive_review_pct"
"ccf8813e5a7d6c84d865cd38bfc2b130","taubate","SP","26","2","2635.50","415.79","3051.29","101.37","4.38","26","84.62"
"ea6b12bf9ffe2bac34602ec631d97a47","guarulhos","SP","11","1","2625.80","205.52","2831.32","238.71","4.09","11","81.82"
"9906e7aa42a3c067b7c9a564d01c4320","maringa","PR","12","4","2619.00","496.60","3115.60","163.69","4.06","12","100.00"
"8ab42aa58097fd4668d60cc648225d5f","goiania","GO","20","3","2616.75","593.64","3210.39","100.64","4.15","20","95.00"
"a369d693961cb93b61ca2cc518872a85","sao jose do rio preto","SP","11","5","2597.00","616.79","3213.79","144.28","4.11","11","118.18"
"bb5bd94c8f59cc050072d2930c869cac","sao paulo","SP","16","2","2593.86","317.87","2911.73","144.10","4.22","17","82.35"
"fdaaf5bfda82b7b80535610c831b8d09","sao jose do rio preto","SP","10","3","2588.90","259.42","2848.32","172.59","3.93","10","110.00"
"cd06602b43d8800bd0afad514919d35c","sao paulo","SP","44","4","2588.07","747.26","3335.33","48.83","3.68","44","77.27"
"04aba03279157f6d4e0fe8ccaf21963c","santo antonio de padua","RJ","16","1","2575.90","346.43","2922.33","160.99","4.31","16","87.50"
"2c4c47cb51acd5ea5db5e0ae0e26542a","buritama","SP","12","2","2575.90","341.47","2917.37","171.73","4.60","12","125.00"
"b76dba6c951ab00dc4edf0a1aa88037e","sao paulo","SP","159","3","2574.78","2307.10","4881.88","15.24","4.15","157","85.99"
"41ab63a91b8b264e8c8780368bf1dd5b","belo horizonte","MG","12","3","2571.95","302.27","2874.22","197.84","4.23","12","91.67"
"1354d51653f645349064725ed204e85e","sao paulo","SP","18","2","2570.00","299.59","2869.59","122.38","3.71","18","72.22"
"1ce3ae5a399804d1a87e706f8a813c3e","jaguaruna","SC","40","3","2563.00","853.69","3416.69","58.25","3.73","40","67.50"
"f1c1ac3f3efc07e659c035008e615e66","sao paulo","SP","4","5","2561.96","302.82","2864.78","183.00","3.57","4","250.00"
"323ce52b5b81df2cd804b017b7f09aa7","sao paulo","SP","30","1","2554.20","401.47","2955.67","85.14","4.31","29","89.66"
"157c3e4b42f81ac4a44e8b1ca2fe9876","sao paulo","SP","23","5","2548.50","583.32","3131.82","82.21","3.97","23","91.30"
